Company,Product,TypeName,Inches,ScreenResolution,Cpu,Ram,Memory,Gpu,OpSys,Weight,Price,ClockSpeed,DisplayType
HP,15-ay047nv (i3-6006U/6GB/1TB/Radeon,Notebook,15.6,1920x1080,Intel Core i3 6006U,6GB,1TB HDD,AMD Radeon R5 M430,Windows 10,2.04kg,46900.0,2GHz,
MSI,GP72VR Leopard,Gaming,17.3,1920x1080,Intel Core i7 7700HQ,8GB,128GB SSD +  1TB HDD,Nvidia GeForce GTX 1060,Windows 10,2.7kg,129300.0,2.8GHz,Full HD
Toshiba,Satellite Pro,Notebook,15.6,1366x768,Intel Core i3 6100U,4GB,128GB SSD,Intel HD Graphics 520,Windows 10,2.1kg,43300.0,2.1GHz,
Dell,Latitude 3580,Notebook,15.6,1920x1080,Intel Core i5 7200U,8GB,1TB HDD,Intel HD Graphics 620,Windows 10,2.06kg,83100.0,2.5GHz,Full HD
HP,15-bs012nv (i7-7500U/8GB/1TB/Radeon,Notebook,15.6,1920x1080,Intel Core i7 7500U,8GB,1TB HDD,AMD Radeon 530,Windows 10,2.1kg,64800.0,2.7GHz,Full HD
Toshiba,Tecra Z50-D-10E,Notebook,15.6,1920x1080,Intel Core i5 7200U,8GB,256GB SSD,Intel HD Graphics 620,Windows 10,2.0kg,109400.0,2.5GHz,IPS Panel Full HD
Acer,Aspire 3,Notebook,15.6,1366x768,Intel Core i3 6006U,4GB,128GB SSD,Intel HD Graphics 520,Linux,2.1kg,35800.0,2GHz,
Microsoft,Surface Laptop,Ultrabook,13.5,2256x1504,Intel Core i7 7600U,8GB,256GB SSD,Intel Iris Plus Graphics 640,Windows 10,1.252kg,162400.0,2.8GHz,Touchscreen
Lenovo,V310-15ISK (i5-7200U/8GB/1TB,Notebook,15.6,1920x1080,Intel Core i5 7200U,8GB,128GB SSD +  1TB HDD,AMD Radeon R5 M430,Windows 10,1.90kg,71100.0,2.5GHz,Full HD
Lenovo,Yoga 720-13IKB,2 in 1 Convertible,13.3,1920x1080,Intel Core i5 7200U,8GB,256GB SSD,Intel HD Graphics 620,Windows 10,1.3kg,891000.0,2.5GHz,IPS Panel Full HD / Touchscreen
Lenovo,IdeaPad 320-15AST,Notebook,15.6,1366x768,AMD E Series E2 9000,4GB,128GB SSD,AMD Radeon R2 Graphics,Windows 10,2.2kg,30400.0,2.2GHz,
HP,Pavilion X360,2 in 1 Convertible,14.0,1920x1080,Intel Core i3 7100U,4GB,128GB SSD,Nvidia GeForce 940MX,Windows 10,1.63kg,60800.0,2.4GHz,IPS Panel Full HD / Touchscreen
MSI,GP62 7RDX,Gaming,15.6,1920x1080,Intel Core i7 7700HQ,16GB,256GB SSD +  1TB HDD,Nvidia GeForce GTX 1050,Windows 10,2.4kg,112600.0,2.8GHz,Full HD
Asus,Zenbook 3,Ultrabook,14.0,1920x1080,Intel Core i5 7200U,8GB,256GB SSD,Intel HD Graphics 620,Windows 10,1.1kg,98700.0,2.5GHz,Full HD
HP,Chromebook X360,2 in 1 Convertible,11.6,1366x768,Intel Celeron Dual Core N3350,8GB,64GB Flash Storage,Intel HD Graphics 500,Chrome OS,1.4kg,43100.0,1.1GHz,Touchscreen
LG,Gram 15Z975,Ultrabook,15.6,1920x1080,Intel Core i7 8550U,8GB,512GB SSD,Intel HD Graphics 620,Windows 10,1.09kg,200000.0,1.8GHz,IPS Panel Full HD
Acer,Aspire VX5-591G,Gaming,15.6,1920x1080,Intel Core i5 7300HQ,16GB,256GB SSD,Nvidia GeForce GTX 1050 Ti,Windows 10,2.5kg,113000.0,2.5GHz,Full HD
MSI,GV62M 7RD,Gaming,15.6,1920x1080,Intel Core i5 7300HQ,8GB,256GB SSD,Nvidia GeForce GTX 1050,Windows 10,2.2kg,86700.0,2.5GHz,Full HD
Asus,L502NA-GO052T (N3350/4GB/128GB/W10),Notebook,15.6,1366x768,Intel Celeron Dual Core N3350,4GB,128GB SSD,Intel HD Graphics 500,Windows 10,1.86kg,36500.0,1.1GHz,
Dell,Alienware 15,Gaming,15.6,1920x1080,Intel Core i5 7300HQ,16GB,128GB SSD +  1TB HDD,Nvidia GeForce GTX 1060,Windows 10,3.21kg,178400.0,2.5GHz,Full HD
HP,17-bs000nv I3,Notebook,17.3,1920x1080,Intel Core i3 6006U,4GB,256GB SSD,AMD Radeon R5 520,Windows 10,2.5kg,60800.0,2GHz,IPS Panel Full HD
Lenovo,Yoga 730,2 in 1 Convertible,13.3,1920x1080,Intel Core i7 8550U,8GB,512GB SSD,Intel UHD Graphics 620,Windows 10,1.19kg,130400.0,1.8GHz,IPS Panel Full HD / Touchscreen
Dell,Alienware 15,Gaming,15.6,1920x1080,Intel Core i7 7820HK,16GB,256GB SSD +  1TB HDD,Nvidia GeForce GTX 1070,Windows 10,3.49kg,244700.0,2.9GHz,Full HD
HP,250 G6,Notebook,15.6,1366x768,Intel Core i5 7200U,4GB,500GB HDD,AMD Radeon 520,Windows 10,1.86kg,53200.0,2.5GHz,
Dell,Inspiron 3567,Notebook,15.6,1366x768,Intel Core i3 6006U,4GB,1TB HDD,AMD Radeon R5 M430,Windows 10,2.2kg,47400.0,2GHz,
HP,17-Y002nv (A10-9600P/6GB/2TB/Radeon,Notebook,17.3,1920x1080,AMD A10 Series 9600P,6GB,2TB HDD,AMD Radeon R7 M440,Windows 10,2.65kg,49500.0,2.4GHz,IPS Panel Full HD
Lenovo,V110-15ISK (3855U/4GB/500GB/W10),Notebook,15.6,1366x768,Intel Celeron Dual Core 3855U,4GB,500GB HDD,Intel HD Graphics 510,Windows 10,2.1kg,27700.0,1.6GHz,
Acer,Chromebook 14,Notebook,14.0,1366x768,Intel Celeron Dual Core 3855U,4GB,32GB Flash Storage,Intel HD Graphics 510,Chrome OS,1.45kg,32600.0,1.6GHz,
Lenovo,IdeaPad 520s-14IKB,Notebook,14.0,1920x1080,Intel Core i5 7200U,4GB,256GB SSD,Intel HD Graphics 620,Windows 10,1.7kg,60800.0,2.5GHz,Full HD
HP,ZBook 17,Workstation,17.3,1920x1080,Intel Core i7 7700HQ,8GB,500GB HDD,Nvidia Quadro M1200,Windows 10,3.14kg,165900.0,2.8GHz,Full HD
Lenovo,ThinkPad X1,2 in 1 Convertible,14.0,2560x1440,Intel Core i7 7500U,8GB,256GB SSD,Intel HD Graphics 620,Windows 10,1.42kg,225300.0,2.7GHz,Touchscreen
Toshiba,Satellite Pro,Notebook,13.3,1920x1080,Intel Core i5 7200U,8GB,256GB SSD,Intel HD Graphics 620,Windows 10,1.5kg,84700.0,2.5GHz,IPS Panel Full HD
Acer,TravelMate B117-M,Netbook,11.6,1366x768,Intel Celeron Dual Core N3050,4GB,32GB Flash Storage,Intel HD Graphics,Windows 10,1.4kg,23400.0,1.6GHz,
Lenovo,Yoga 910-13IKB,2 in 1 Convertible,14.0,1920x1080,Intel Core i7 7500U,16GB,512GB SSD,Intel HD Graphics 620,Windows 10,1.38kg,152200.0,2.7GHz,Full HD / Touchscreen
Asus,Chromebook Flip,2 in 1 Convertible,12.5,1920x1080,Intel Core M M3 6Y30,4GB,64GB Flash Storage,Intel HD Graphics 515,Chrome OS,1.2kg,58200.0,0.9GHz,Full HD / Touchscreen
Toshiba,Portege Z30T-C-133,Ultrabook,13.3,1920x1080,Intel Core i7 6500U,16GB,512GB SSD,Intel HD Graphics 520,Windows 10,1.36kg,163300.0,2.5GHz,Full HD / Touchscreen
HP,15-bs011nv (i7-7500U/4GB/500GB/Radeon,Notebook,15.6,1920x1080,Intel Core i7 7500U,4GB,500GB HDD,AMD Radeon 530,Windows 10,2.1kg,59900.0,2.7GHz,IPS Panel Full HD
Dell,Inspiron 5577,Gaming,15.6,1920x1080,Intel Core i5 7300HQ,8GB,1TB HDD,Nvidia GeForce GTX 1050,Windows 10,2.56kg,71300.0,2.5GHz,Full HD
Lenovo,IdeaPad 320-15AST,Notebook,15.6,1920x1080,AMD A9 Series 9420,4GB,256GB SSD,AMD Radeon 530,Windows 10,2.2kg,34700.0,2.9GHz,Full HD
Lenovo,IdeaPad 320-15ABR,Notebook,15.6,1366x768,AMD A12 Series 9720P,8GB,1TB HDD,AMD Radeon R7,Windows 10,2.2kg,37300.0,3.6GHz,
Lenovo,V310-15IKB (i5-7200U/4GB/1TB/FHD/W10),Notebook,15.6,1920x1080,Intel Core i5 7200U,4GB,1TB HDD +  1TB HDD,Intel HD Graphics 620,Windows 10,2.1kg,54000.0,2.5GHz,Full HD
Lenovo,V310-15ISK (i3-6006U/4GB/500GB/No,Notebook,15.6,1366x768,Intel Core i3 6006U,4GB,500GB HDD,Intel HD Graphics 520,No OS,1.90kg,39200.0,2GHz,
Dell,Vostro 5568,Notebook,15.6,1920x1080,Intel Core i5 7200U,8GB,256GB SSD,Intel HD Graphics 620,Windows 10,2.18kg,69200.0,2.5GHz,Full HD
Acer,Spin 5,2 in 1 Convertible,13.3,1920x1080,Intel Core i5 8250U,8GB,256GB SSD,Intel UHD Graphics 620,Windows 10,1.6kg,86900.0,1.6GHz,IPS Panel Full HD / Touchscreen
Lenovo,ThinkPad P51s,Workstation,15.6,1920x1080,Intel Core i7 6500U,16GB,512GB SSD,Nvidia Quadro M520M,Windows 7,2.18kg,161400.0,2.5GHz,Full HD
Lenovo,Thinkpad T460p,Notebook,14.0,1920x1080,Intel Core i5 6300HQ,8GB,256GB SSD,Intel HD Graphics 520,Windows 10,1.8kg,103600.0,2.3GHz,Full HD
HP,17-ak002nv (A10-9620P/6GB/2TB/Radeon,Notebook,17.3,1920x1080,AMD A10 Series 9620P,6GB,2TB HDD,AMD Radeon 530,Windows 10,2.71kg,561000.0,2.5GHz,IPS Panel Full HD
Lenovo,Legion Y520-15IKBN,Gaming,15.6,1920x1080,Intel Core i7 7700HQ,8GB,128GB SSD +  1TB HDD,Nvidia GeForce GTX 1050 Ti,Windows 10,2.5kg,108700.0,2.8GHz,IPS Panel Full HD
Dell,Latitude 5480,Notebook,14.0,1920x1080,Intel Core i5 7440HQ,8GB,256GB SSD,Nvidia GeForce 930MX,Linux,1.64kg,94700.0,2.8GHz,Full HD
Dell,Vostro 5568,Notebook,15.6,1920x1080,Intel Core i5 7200U,8GB,1TB HDD,Intel HD Graphics 620,Linux,1.98kg,63200.0,2.5GHz,Full HD
Asus,VivoBook E403NA,Notebook,14.0,1920x1080,Intel Celeron Dual Core N3350,4GB,32GB Flash Storage,Intel HD Graphics 500,Windows 10,1.5kg,25900.0,1.1GHz,Full HD
Dell,Latitude 5580,Notebook,15.6,1920x1080,Intel Core i5 7300U,16GB,512GB SSD,Intel HD Graphics 620,Windows 10,1.93kg,124100.0,2.6GHz,Full HD
Lenovo,Thinkpad E470,Notebook,14.0,1920x1080,Intel Core i5 7200U,8GB,256GB SSD,Nvidia GeForce 920MX,Windows 10,1.87kg,74600.0,2.5GHz,IPS Panel Full HD
Dell,Latitude 5580,Notebook,15.6,1920x1080,Intel Core i5 7300U,8GB,256GB SSD,Intel HD Graphics 620,Windows 10,1.9kg,102600.0,2.6GHz,Full HD
Lenovo,110-15ACL (A6-7310/4GB/500GB/W10),Notebook,15.6,1366x768,AMD A6 Series 7310,4GB,500GB HDD,AMD Radeon R4,Windows 10,2.19kg,25900.0,2GHz,
Mediacom,Smartbook 142,Notebook,14.0,1920x1200,Intel Atom Z8350,4GB,32GB HDD,Intel HD Graphics 400,Windows 10,1.4kg,23100.0,1.92GHz,IPS Panel Full HD
HP,ProBook 470,Notebook,17.3,1920x1080,Intel Core i7 7500U,8GB,256GB SSD,Nvidia GeForce 930MX,Windows 10,2.63kg,104400.0,2.7GHz,Full HD
Lenovo,ThinkPad X1,Ultrabook,14.0,2560x1440,Intel Core i7 6500U,8GB,512GB SSD,Intel HD Graphics 520,Windows 10,1.17kg,146700.0,2.5GHz,IPS Panel Quad HD+
HP,Pavilion X360,2 in 1 Convertible,13.3,1366x768,Intel Core i5 7200U,8GB,256GB SSD,Intel HD Graphics 620,Windows 10,1.58kg,72700.0,2.5GHz,IPS Panel Touchscreen
Lenovo,ThinkPad T470s,Ultrabook,14.0,1920x1080,Intel Core i5 7200U,8GB,256GB SSD,Intel HD Graphics 620,Windows 10,1.32kg,130400.0,2.5GHz,IPS Panel Full HD
Dell,Alienware 17,Gaming,17.3,3840x2160,Intel Core i7 7700HQ,32GB,1TB SSD +  1TB HDD,Nvidia GeForce GTX 1070,Windows 10,4.36kg,318300.0,2.8GHz,4K Ultra HD
MSI,GL72M 7REX,Gaming,17.3,1920x1080,Intel Core i7 7700HQ,8GB,128GB SSD +  1TB HDD,Nvidia GeForce GTX 1050 Ti,Windows 10,2.7kg,117300.0,2.8GHz,Full HD
Lenovo,V310-15IKB (i5-7200U/4GB/1TB/No,Notebook,15.6,1366x768,Intel Core i5 7200U,4GB,1TB HDD,Intel HD Graphics 620,No OS,1.9kg,42500.0,2.5GHz,
Dell,Inspiron 5570,Notebook,15.6,1920x1080,Intel Core i5 8250U,8GB,128GB SSD +  1TB HDD,AMD Radeon 530,Windows 10,2.2kg,62600.0,1.6GHz,Full HD
Dell,Inspiron 5378,2 in 1 Convertible,13.3,1920x1080,Intel Core i3 7100U,4GB,1TB HDD,Intel HD Graphics 620,Windows 10,1.71kg,56500.0,2.4GHz,Full HD / Touchscreen
Dell,Inspiron 5567,Notebook,15.6,1366x768,Intel Core i5 7200U,8GB,1TB HDD,AMD Radeon R7 M445,Linux,2.32kg,51200.0,2.5GHz,
HP,15-BW037na (A9-9420/4GB/1TB/Radeon,Notebook,15.6,1920x1080,AMD A9 Series 9420,4GB,1TB HDD,AMD Radeon 520,Windows 10,2.1kg,42500.0,3GHz,Full HD
Acer,Predator 17,Gaming,17.3,1920x1080,Intel Core i7 6700HQ,16GB,128GB SSD +  1TB HDD,Nvidia GeForce GTX 1060,Windows 10,4.2kg,168300.0,2.6GHz,IPS Panel Full HD
Dell,Inspiron 3567,Notebook,15.6,1366x768,Intel Core i5 7200U,12GB,1TB HDD,Intel HD Graphics 620,Windows 10,2.25kg,56500.0,2.5GHz,
HP,15-BW091ND (A9-9420/6GB/1TB,Notebook,15.6,1920x1080,AMD A9 Series A9 9420,6GB,128GB SSD +  1TB HDD,AMD Radeon 520,Windows 10,2.1kg,56600.0,3GHz,Full HD
Acer,Extensa EX2540-58KR,Notebook,15.6,1366x768,Intel Core i5 7200U,4GB,500GB HDD,Intel HD Graphics 620,Windows 10,2.4kg,48600.0,2.5GHz,
Lenovo,ThinkPad 13,Notebook,13.3,1920x1080,Intel Core i5 7200U,8GB,256GB SSD,Intel HD Graphics 620,Windows 10,1.44kg,83500.0,2.5GHz,IPS Panel Full HD
Lenovo,V310-15IKB (i7-7500U/4GB/1TB/FHD/W10),Notebook,15.6,1920x1080,Intel Core i7 7500U,4GB,1TB HDD,Intel HD Graphics 620,Windows 10,1.85kg,67800.0,2.7GHz,Full HD
HP,ZBook 15,Workstation,15.6,1920x1080,Intel Core i7 7700HQ,16GB,256GB SSD,Nvidia Quadro M2200,Windows 10,2.6kg,210500.0,2.8GHz,Full HD
Dell,Inspiron 5379,2 in 1 Convertible,13.3,1920x1080,Intel Core i5 8250U,8GB,1TB HDD,Intel UHD Graphics 620,Windows 10,1.55kg,57300.0,1.6GHz,Full HD / Touchscreen
MSI,GS63VR 7RF,Gaming,15.6,1920x1080,Intel Core i7 7700HQ,16GB,256GB SSD +  1TB HDD,Nvidia GeForce GTX 1060,Windows 10,1.8kg,182200.0,2.8GHz,Full HD
Acer,Aspire ES1-572,Notebook,15.6,1366x768,Intel Core i3 6006U,4GB,500GB HDD,Intel HD Graphics 520,Windows 10,2.4kg,35700.0,2GHz,
Dell,Inspiron 7560,Notebook,15.6,1920x1080,Intel Core i7 7500U,8GB,128GB SSD +  1TB HDD,Nvidia GeForce 940MX,Windows 10,2.0kg,105000.0,2.7GHz,Full HD
Dell,Vostro 3568,Notebook,15.6,1366x768,Intel Core i3 6006U,8GB,256GB SSD,Intel HD Graphics 520,Windows 10,2kg,57900.0,2GHz,
Toshiba,Tecra X40-D-10G,Notebook,14.0,1920x1080,Intel Core i5 7200U,8GB,256GB SSD,Intel HD Graphics 620,Windows 10,1.25kg,133500.0,2.5GHz,IPS Panel Full HD / Touchscreen
Lenovo,Flex 5,2 in 1 Convertible,14.0,1920x1080,Intel Core i5 7200U,8GB,256GB SSD,Intel HD Graphics 620,Windows 10,1.7kg,86900.0,2.5GHz,Full HD / Touchscreen
Lenovo,Thinkpad P51s,Workstation,15.6,3840x2160,Intel Core i7 7600U,16GB,1TB SSD,Nvidia Quadro M520M,Windows 10,2.5kg,287000.0,2.8GHz,IPS Panel 4K Ultra HD
Acer,Chromebook 14,Notebook,14.0,1366x768,Intel Celeron Dual Core N3060,2GB,32GB Flash Storage,Intel HD Graphics 400,Chrome OS,1.68kg,28700.0,1.6GHz,
Samsung,Notebook 9,Ultrabook,13.3,1920x1080,Intel Core i7 7500U,16GB,256GB SSD,Intel HD Graphics 620,Windows 10,0.81kg,143500.0,2.7GHz,Full HD
HP,250 G6,Notebook,15.6,1920x1080,Intel Core i3 6006U,8GB,256GB SSD,Intel HD Graphics 520,Windows 10,1.86kg,46900.0,2GHz,Full HD
Dell,Latitude 5480,Notebook,14.0,1366x768,Intel Core i5 7200U,8GB,256GB SSD,Intel HD Graphics 620,Windows 10,1.6kg,971000.0,2.5GHz,
HP,Zbook 17,Workstation,17.3,1920x1080,Intel Xeon E3 1535M v5,16GB,256GB SSD,Nvidia Quadro M2000M,Windows 7,3kg,381800.0,2.9GHz,IPS Panel Full HD
Lenovo,N23 (N3060/4GB/128GB/W10),Netbook,11.6,1366x768,Intel Celeron Dual Core N3060,4GB,128GB SSD,Intel HD Graphics 400,Windows 10,1.4kg,41300.0,1.6GHz,Touchscreen
HP,EliteBook 850,Notebook,15.6,1920x1080,Intel Core i5 6300U,8GB,256GB SSD,Intel HD Graphics 520,Windows 10,1.84kg,165300.0,2.4GHz,Full HD
Asus,X550VX-XX015D (i5-6300HQ/4GB/1TB/GeForce,Notebook,15.6,1366x768,Intel Core i5 6300HQ,4GB,1TB HDD,Nvidia GeForce GTX 950M,No OS,2.45kg,50400.0,2.3GHz,
Lenovo,Thinkpad T460,Ultrabook,14.0,1920x1080,Intel Core i5 6200U,4GB,180GB SSD,Intel HD Graphics 520,Windows 10,1.7kg,95400.0,2.3GHz,Full HD
Asus,Pro P2540UA-XO0192R,Notebook,15.6,1366x768,Intel Core i7 7500U,4GB,256GB SSD,Intel HD Graphics 620,Windows 10,2.37kg,73900.0,2.7GHz,
Lenovo,Yoga 900-13ISK,2 in 1 Convertible,13.3,3200x1800,Intel Core i5 6260U,8GB,256GB SSD,Intel HD Graphics 540,Windows 10,1.3kg,104300.0,1.8GHz,IPS Panel Quad HD+ / Touchscreen
HP,15-cb003na (i5-7300HQ/8GB/1TB,Notebook,15.6,1920x1080,Intel Core i5 7300HQ,8GB,128GB SSD +  1TB HDD,Nvidia GeForce GTX 1050,Windows 10,2.2kg,95600.0,2.5GHz,IPS Panel Full HD
HP,ZBook 15,Workstation,15.6,1920x1080,Intel Core i7 6700HQ,8GB,256GB SSD,Nvidia Quadro M1000M,Windows 7,2.59kg,135800.0,2.6GHz,Full HD
Dell,Alienware 17,Gaming,15.6,3840x2160,Intel Core i7 7700HQ,16GB,256GB SSD +  1TB HDD,Nvidia GeForce GTX 1070,Windows 10,4.42kg,249500.0,2.8GHz,IPS Panel 4K Ultra HD
Acer,Aspire 3,Notebook,15.6,1366x768,Intel Core i5 7200U,4GB,256GB SSD,Intel HD Graphics 620,Windows 10,2.1kg,52100.0,2.5GHz,
Lenovo,Legion Y520-15IKBN,Gaming,15.6,1920x1080,Intel Core i7 7700HQ,8GB,128GB SSD +  1TB HDD,Nvidia GeForce GTX 1050,Windows 10,2.5kg,91200.0,2.8GHz,IPS Panel Full HD
Dell,Latitude 7280,Ultrabook,12.5,1920x1080,Intel Core i7 7600U,16GB,256GB SSD,Intel HD Graphics 620,Windows 10,1.18kg,161700.0,2.8GHz,Full HD
Google,Pixelbook (Core,Ultrabook,12.3,2400x1600,Intel Core i5 7Y57,8GB,256GB SSD,Intel HD Graphics 615,Chrome OS,1.1kg,135600.0,1.2GHz,Touchscreen
Asus,Zenbook UX330UA-AH5Q,Ultrabook,13.3,3200x1800,Intel Core i5 7200U,8GB,256GB SSD,Intel HD Graphics 620,Windows 10,1.2kg,98200.0,2.5GHz,IPS Panel Quad HD+
Dell,Latitude 3380,Notebook,13.3,1366x768,Intel Core i3 6006U,4GB,500GB HDD,Intel HD Graphics 520,Windows 10,1.65kg,73900.0,2GHz,
Acer,TravelMate P238-M,Notebook,13.3,1366x768,Intel Core i5 6200U,4GB,128GB SSD,Intel HD Graphics 520,Windows 10,1.6kg,561000.0,2.3GHz,
Asus,X751NV-TY001 (N4200/4GB/1TB/GeForce,Notebook,17.3,1366x768,Intel Pentium Quad Core N4200,4GB,1TB HDD,Nvidia GeForce 920MX,Windows 10,2.8kg,40900.0,1.1GHz,
Dell,Inspiron 7559,Gaming,15.6,3840x2160,Intel Core i7 6700HQ,16GB,128GB SSD +  1TB HDD,Nvidia GeForce GTX 960M,Windows 10,2.72kg,95600.0,2.6GHz,IPS Panel Touchscreen / 4K Ultra HD
Samsung,Notebook 9,Ultrabook,13.3,1920x1080,Intel Core i7 7500U,8GB,256GB SSD,Intel HD Graphics 620,Windows 10,1.31kg,139100.0,2.7GHz,Full HD / Touchscreen
Acer,Aspire A315-31,Notebook,15.6,1366x768,Intel Pentium Quad Core N4200,4GB,1TB HDD,Intel HD Graphics 505,Linux,2.1kg,25900.0,1.1GHz,
Dell,Inspiron 5567,Notebook,15.6,1920x1080,Intel Core i7 7500U,16GB,256GB SSD,AMD Radeon R7 M445,Windows 10,2.3kg,102700.0,2.7GHz,Full HD
Samsung,Notebook 9,2 in 1 Convertible,15.0,1920x1080,Intel Core i7 7500U,16GB,256GB SSD,AMD Radeon 540,Windows 10,1.71kg,156500.0,2.7GHz,Full HD / Touchscreen
Toshiba,Tecra A40-C-1E5,Notebook,14.0,1366x768,Intel Core i5 6200U,4GB,128GB SSD,Intel HD Graphics 520,Windows 10,1.75kg,88700.0,2.3GHz,IPS Panel
Dell,Inspiron 7567,Gaming,15.6,1920x1080,Intel Core i7 7700HQ,8GB,1TB HDD,Nvidia GeForce GTX 1050,Windows 10,2.62kg,95600.0,2.8GHz,Full HD
HP,EliteBook 820,Ultrabook,12.5,1366x768,Intel Core i5 6200U,4GB,256GB SSD,Intel HD Graphics 520,Windows 10,1.26kg,108200.0,2.3GHz,
Asus,Q524UQ-BHI7T15 (i7-7500U/12GB/2TB/GeForce,2 in 1 Convertible,15.6,1920x1080,Intel Core i7 7500U,12GB,2TB HDD,Nvidia GeForce 940MX,Windows 10,2.3kg,721000.0,2.7GHz,Full HD / Touchscreen
Lenovo,Thinkpad P50,Notebook,15.6,3840x2160,Intel Core i7 6820HQ,16GB,512GB SSD,Nvidia Quadro M2000M,Windows 7,2.5kg,206200.0,2.7GHz,4K Ultra HD
Acer,Swift 3,Notebook,14.0,1920x1080,Intel Core i3 7100U,4GB,128GB SSD,Intel HD Graphics 620,Windows 10,1.8kg,55300.0,2.4GHz,IPS Panel Full HD
Razer,Blade Pro,Gaming,14.0,1920x1080,Intel Core i7 7700HQ,16GB,512GB SSD,Nvidia GeForce GTX 1060,Windows 10,1.95kg,252200.0,2.8GHz,Full HD
Asus,Vivobook Max,Notebook,15.6,1920x1080,Intel Pentium Dual Core N4200,8GB,128GB SSD,Intel HD Graphics 505,Windows 10,2kg,50500.0,1.1GHz,
Dell,Alienware 17,Gaming,17.3,1920x1080,Intel Core i7 7700HQ,32GB,1TB SSD +  1TB HDD,Nvidia GeForce GTX 1070M,Windows 10,4.42kg,312200.0,2.8GHz,IPS Panel Full HD
Asus,Rog G752VS-BA171T,Gaming,17.3,1920x1080,Intel Core i7 6700HQ,16GB,256GB SSD +  1TB HDD,Nvidia GeForce GTX 1070,Windows 10,4.3kg,204500.0,2.6GHz,IPS Panel Full HD
Toshiba,Tecra Z40-C-161,Ultrabook,14.0,1920x1080,Intel Core i7 6600U,16GB,512GB SSD,Nvidia GeForce 930M,Windows 10,1.47kg,153500.0,2.6GHz,IPS Panel Full HD
Lenovo,IdeaPad 110-15IBR,Notebook,15.6,1366x768,Intel Celeron Quad Core N3710,8GB,1TB HDD,Intel HD Graphics 405,No OS,2.2kg,28600.0,1.6GHz,
Lenovo,ThinkPad T470s,Ultrabook,14.0,1920x1080,Intel Core i7 7500U,16GB,512GB SSD,Intel HD Graphics 620,Windows 10,1.7kg,200000.0,2.7GHz,Full HD
MSI,GS43VR 7RE,Gaming,14.0,1920x1080,Intel Core i7 7700HQ,16GB,256GB SSD +  1TB HDD,Nvidia GeForce GTX 1060,Windows 10,1.6kg,164500.0,2.8GHz,IPS Panel Full HD
MSI,GL62M (i5-7300HQ/8GB/1TB,Gaming,15.6,1920x1080,Intel Core i5 7300HQ,8GB,128GB SSD +  1TB HDD,Nvidia GeForce GTX 1050,Windows 10,2.2kg,94700.0,2.5GHz,Full HD
Lenovo,Legion Y520-15IKBN,Gaming,15.6,1920x1080,Intel Core i7 7700HQ,4GB,1TB HDD,Nvidia GeForce GTX 1050,Windows 10,2.4kg,86900.0,2.8GHz,IPS Panel Full HD
Acer,Predator G9-793,Gaming,17.3,1920x1080,Intel Core i7 7700HQ,16GB,256GB SSD +  1TB HDD,Nvidia GeForce GTX 1060,Windows 10,4.2kg,200000.0,2.8GHz,IPS Panel Full HD
Dell,Inspiron 7567,Gaming,15.6,1920x1080,Intel Core i5 7300HQ,8GB,256GB SSD,Nvidia GeForce GTX 1050,Windows 10,2.62kg,85700.0,2.5GHz,Full HD
Asus,FX502VM-DM560T (i7-7700HQ/8GB/1TB,Gaming,15.6,1920x1080,Intel Core i7 7700HQ,8GB,128GB SSD +  1TB HDD,Nvidia GeForce GTX1060,Windows 10,2.24kg,116500.0,2.8GHz,Full HD
Vero,K146 (N3350/4GB/32GB/W10),Notebook,14.0,1920x1080,Intel Celeron Dual Core N3350,4GB,32GB Flash Storage,Intel HD Graphics 500,Windows 10,1.22kg,17600.0,1.1GHz,
Lenovo,ThinkPad Yoga,2 in 1 Convertible,13.3,1920x1080,Intel Core i7 7500U,8GB,512GB SSD,Intel HD Graphics 620,Windows 10,1.37kg,171400.0,2.7GHz,IPS Panel Full HD / Touchscreen
Lenovo,Yoga 510-15IKB,2 in 1 Convertible,15.6,1920x1080,Intel Core i5 7200U,8GB,256GB SSD,AMD Radeon R7 M460,Windows 10,2.08kg,83400.0,2.5GHz,Full HD / Touchscreen
Apple,"MacBook 12""",Ultrabook,12.0,2304x1440,Intel Core M,8GB,512GB Flash Storage,Intel HD Graphics 5300,Mac OS X,0.920kg,101400.0,1.2GHz,IPS Panel Retina Display
Lenovo,ThinkPad X1,2 in 1 Convertible,14.0,2560x1440,Intel Core i5 7200U,8GB,256GB SSD,Intel HD Graphics 620,Windows 10,1.42kg,202700.0,2.5GHz,IPS Panel Touchscreen
Asus,R417NA-RS01 (N3350/4GB/32GB/W10),Notebook,14.0,1366x768,Intel Celeron Dual Core N3350,4GB,32GB Flash Storage,Intel HD Graphics 500,Windows 10,1.63kg,26000.0,1.1GHz,
Dell,Latitude 3580,Notebook,15.6,1366x768,Intel Core i5 7200U,8GB,128GB SSD,Intel HD Graphics 620,Windows 10,1.95kg,70500.0,2.5GHz,
Lenovo,Yoga 910-13IKB,2 in 1 Convertible,13.9,1920x1080,Intel Core i7 7500U,8GB,256GB SSD,Intel HD Graphics 620,Windows 10,1.38kg,117400.0,2.7GHz,IPS Panel Full HD / Touchscreen
